Book,hadithId,Matn,Sanad
صحيح البخاري,4144,"  رضي ه  , عن النبي   :  قيل لبني إسرائيل وادخلوا الباب سجدا وقولوا حطة  58  فدخلوا يزحفون على أستاههم فبدلوا  ووا حطة حبة في شعرة   .","['محمد', 'عبد الرحمن بن مهدي', 'ابن المبارك', 'معمر', 'همام بن منبه', 'أبي هريرة']"
صحيح البخاري,4145,"  ,  : سمع عبد ه بن سلام , بقدوم رسول ه  وهو في أرض يخترف  فأتى النبي  ف : إني سائلك عن ثلاث لا يعلمهن إلا نبي فما أول أشراط الساعة  وما أول طعام أهل الجنة  وما ينزع الولد إلى أبيه أو إلى أمه   :  أخبرني بهن جبريل آنفا  ,  : جبريل   :  نعم    :  ذاك عدو اليهود من الملائكة  فقرأ هذه الآية من كان عدوا لجبريل فإنه نزله على قلبك بإذن ه  97 أما أول أشراط الساعة  فنار تحشر الناس من المشرق إلى المغرب  وأما أول طعام يأكله أهل الجنة  فزيادة كبد حوت  وإذا سبق ماء الرجل ماء المرأة نزع الولد  وإذا سبق ماء المرأة نزعت    : أشهد أن لا إله إلا ه وأشهد أنك رسول ه , يا رسول ه , إن اليهود قوم بهت  وإنهم إن يعلموا بإسلامي قبل أن تسألهم يبهتوني  فجاءت اليهود  ف النبي  :  أي رجل عبد ه فيكم   وا : خيرنا وابن خيرنا  وسيدنا وابن سيدنا   :  أرأيتم إن أسلم عبد ه بن سلام    فوا : أعاذه ه من ذلك  فخرج عبد ه  ف أشهد أن لا إله إلا ه  وأن محمدا رسول ه  فوا : شرنا وابن شرنا وانتقصوه   : فهذا الذي كنت أخاف يا رسول ه .","['عبد ه بن منير', 'عبد ه بن بكر', 'حميد', 'أنس']"
صحيح البخاري,4146,   يقول : لا أدع شيئا سمعته من رسول ه  وقد   ه تعالى : ما ننسخ من آية أو ننسها  106  .,"['عمرو بن ', 'يحيى', 'سفيان', 'حبيب', 'سعيد بن جبير', 'ابن عباس', 'عمر', 'أبيا']"
صحيح البخاري,4147,"   , عن النبي  ,  :   ه : كذبني ابن آدم ولم يكن له ذلك  وشتمني ولم يكن له ذلك  فأما تكذيبه إياي فزعم أني لا أقدر أن أعيده كما كان  وأما شتمه إياي  فقوله لي ولد فسبحاني أن أتخذ صاحبة أو ولدا   .","['أبو اليمان', 'شعيب', 'عبد ه بن أبي حسين', 'نافع بن جبير', 'ابن عباس']"
صحيح البخاري,4148,"  أما في رسول ه  ما يعظ نساءه حتى تعظهن أنت  فأنزل ه : عسى ربه إن طلقكن أن يبدله أزواجا خيرا منكن مسلمات  5 الآية  , و ابن أبي مريم  : أخبرنا يحيى بن أيوب  , حدثني حميد  , سمعت أنسا  , عن عمر  .","['مسدد', 'ابن أبي مريم', 'يحيى بن سعيد', 'يحيى بن أيوب', 'حميد', 'حميد', 'أنسا', 'أنس', 'عمر', 'عمر']"
صحيح البخاري,4149,"  رضي ه ا , زوج النبي   أن رسول ه   :  ألم تري أن قومك بنوا الكعبة واقتصروا عن قواعد إبراهيم  فقلت : يا رسول ه  ألا تردها على قواعد إبراهيم ,  : لولا حدثان قومك بالكفر   , ف عبد ه بن عمر  : لئن كانت عائشة سمعت هذا من رسول ه  , ما أرى رسول ه  ترك استلام الركنين ذين يليان الحجر إلا أن البيت لم يتمم على قواعد إبراهيم .","['عبد ه بن عمر', 'إسماعيل', 'مالك', 'ابن شهاب', 'سالم بن عبد ه', 'عبد ه بن محمد بن أبي بكر', 'عائشة']"
صحيح البخاري,4150," رضي ه  ,  : كان أهل الكتاب يقرءون التوراة بالعبرانية  ويفسرونها بالعربية لأهل الإسلام , ف رسول ه  :  لا تصدقوا أهل الكتاب ولا تكذبوهم وقولوا : آمنا به وما أنزل إلينا  136   الآية .","['محمد بن بشار', 'عثمان بن عمر', ' بن المبارك', 'يحيى بن أبي كثير', 'أبي سلمة', 'أبي هريرة']"
صحيح البخاري,4151,"  رضي ه  , أن رسول ه  :   إلى بيت المقدس ستة عشر شهرا أو سبعة عشر شهرا  وكان يعجبه أن تكون قبلته قبل البيت  وأنه  أو صلاها صلاة العصر و معه قوم  فخرج رجل ممن كان  معه  فمر على أهل المسجد وهم راكعون   : أشهد به لقد صليت مع النبي  قبل مكة فداروا كما هم قبل البيت  وكان الذي مات على القبلة قبل أن تحول قبل البيت رجال قتلوا لم ندر ما نقول فيهم  فأنزل ه : وما كان ه ليضيع إيمانكم إن ه بالناس لرءوف رحيم  143  .","['أبو نعيم', 'زهيرا', 'أبي إسحاق', 'البراء']"
صحيح البخاري,4152,    :  رسول ه  :  يدعى نوح يوم القيامة  فيقول : لبيك وسعديك يا رب  فيقول : هل بلغت  فيقول : نعم  في : لأمته هل بلغكم  فيقولون : ما أتانا من نذير  فيقول : من يشهد لك  فيقول : محمد وأمته  فتشهدون أنه قد بلغ ويكون الرسول كم شهيدا  143 فذلك قوله جل ذكره وكذلك جعلناكم أمة وسطا لتكونوا شهداء على الناس ويكون الرسول كم شهيدا  143   والوسط : العدل .,"['يوسف بن راشد', 'جرير', 'وأبو أسامة', 'الأعمش', 'أبي صالح', 'أبي سعيد الخدري']"
صحيح البخاري,4153,   : بينا الناس يصلون الصبح في مسجد قباء إذ جاء جاء  ف :  أنزل ه   قرآنا أن يستقبل الكعبة فاستقبلوها فتوجهوا إلى الكعبة   .,"['مسدد', 'يحيى', 'سفيان', 'عبد ه بن دينار', 'ابن عمر']"
صحيح البخاري,4154,"  رضي ه  ,  :  لم يبق ممن  القبلتين غيري   .","[' بن عبد ه', 'معتمر', 'أبيه', 'أنس']"
صحيح البخاري,4155,   : بينما الناس في الصبح بقباء جاءهم رجل  ف : إن رسول ه  قد أنزل ه يلة قرآن  وأمر أن يستقبل الكعبة  ألا فاستقبلوها وكان وجه الناس إلى الشأم فاستداروا بوجوههم إلى الكعبة   .,"['خالد بن مخلد', 'سليمان', 'عبد ه بن دينار', 'ابن عمر']"
صحيح البخاري,4156,"  ,  : بينا الناس بقباء في صلاة الصبح إذ جاءهم آت  ف :  إن النبي  قد أنزل ه يلة قرآن وقد أمر أن يستقبل الكعبة  فاستقبلوها وكانت وجوههم إلى الشأم فاستداروا إلى الكعبة   .","['يحيى بن قزعة', 'مالك', 'عبد ه بن دينار', 'ابن عمر']"
صحيح البخاري,4157,"  رضي ه  ,  :  صلينا مع النبي  نحو بيت المقدس ستة عشر أو سبعة عشر شهرا  ثم صرفه نحو القبلة   .","['محمد بن المثنى', 'يحيى', 'سفيان', 'أبو إسحاق', 'البراء']"
صحيح البخاري,4158,    يقول :  بينا الناس في الصبح بقباء إذ جاءهم رجل  ف :  أنزل يلة قرآن  فأمر أن يستقبل الكعبة فاستقبلوها واستداروا كهيئتهم فتوجهوا إلى الكعبة  وكان وجه الناس إلى الشأم   .,"['موسى بن إسماعيل', 'عبد العزيز بن مسلم', 'عبد ه بن دينار', 'ابن عمر']"
صحيح البخاري,4159,"  ,  : بينما الناس في صلاة الصبح بقباء إذ جاءهم آت , ف :  إن رسول ه  قد أنزل ه يلة وقد أمر أن يستقبل الكعبة فاستقبلوها وكانت وجوههم إلى الشأم فاستداروا إلى القبلة   .","['قتيبة بن سعيد', 'مالك', 'عبد ه بن دينار', 'ابن عمر']"
صحيح البخاري,4160,  :  كلا  لو كانت كما تقول  كانت فلا جناح ه أن لا يطوف بهما إنما أنزلت هذه الآية في الأنصار كانوا يهلون لمناة  وكانت مناة حذو قديد  وكانوا يتحرجون أن يطوفوا بين الصفا والمروة  فلما جاء الإسلام سألوا رسول ه  عن ذلك  فأنزل ه إن الصفا والمروة من شعائر ه فمن حج البيت أو اعتمر فلا جناح ه أن يطوف بهما  158  .,"['عبد ه بن يوسف', 'مالك', 'هشام بن عروة', 'أبيه', 'عائشة']"
صحيح البخاري,4161,"  رضي ه  , عن الصفا والمروة  ف :  كنا نرى أنهما من أمر الجاهلية  فلما كان الإسلام أمسكنا ما  فأنزل ه تعالى : إن الصفا والمروة من شعائر ه فمن حج البيت أو اعتمر فلا جناح ه أن يطوف بهما  158   .","['محمد بن يوسف', 'سفيان', 'عاصم بن سليمان', 'أنس بن مالك']"
صحيح البخاري,4162,"  ,  النبي  كلمة  وقلت أخرى   النبي  :  من مات وهو يدعو من دون ه ندا دخل النار   , وقلت : أنا من مات وهو لا يدعو لله ندا دخل الجنة .","['عبدان', 'أبي حمزة', 'الأعمش', 'شقيق', 'عبد ه']"
صحيح البخاري,4163,"    يقول : كان في بني إسرائيل القصاص ولم تكن فيهم الدية , ف ه تعالى لهذه الأمة : كتب كم القصاص في القتلى الحر بالحر والعبد بالعبد والأنثى بالأنثى فمن عفي له من أخيه شيء  178 فالعفو أن يقبل الدية في العمد فاتباع بالمعروف وأداء إليه بإحسان  178 يتبع بالمعروف ويؤدي بإحسان ذلك تخفيف من ربكم ورحمة  178 مما كتب على من كان قبلكم فمن اعتدى بعد ذلك فله عذاب أليم  178 قتل بعد قبول الدية   .","['الحميدي', 'سفيان', 'عمرو', 'مجاهدا', 'ابن عباس']"
صحيح البخاري,4164,"  حدثهم , عن النبي   :  كتاب ه القصاص   .","['محمد بن عبد ه الأنصاري', 'حميد', 'أنسا']"
صحيح البخاري,4165,"  : أن الربيع عمته  كسرت ثنية جارية  فطلبوا إليها العفو  فأبوا فعرضوا الأرش  فأبوا فأتوا رسول ه  وأبوا إلا القصاص  فأمر رسول ه  بالقصاص  ف أنس بن النضر : يا رسول ه , أتكسر ثنية الربيع لا  والذي بعثك بالحق لا تكسر ثنيتها , ف رسول ه  :  يا أنس , كتاب ه القصاص   فرضي القوم فعفوا  ف رسول ه  :  إن من عباد ه من لو أقسم على ه لأبره  .","['عبد ه بن منير', 'عبد ه بن بكر السهمي', 'حميد', 'أنس']"
صحيح البخاري,4166,"   ,  : كان عاشوراء يصومه أهل الجاهلية  فلما نزل رمضان ,  :  من شاء صامه ومن شاء لم يصمه   .","['مسدد', 'يحيى', 'عبيد ه', 'نافع', 'ابن عمر']"
صحيح البخاري,4167,"  رضي ه ا : كان عاشوراء يصام قبل رمضان  فلما نزل رمضان ,  :  من شاء صام ومن شاء أفطر   .","['عبد ه بن محمد', 'ابن عيينة', 'الزهري', 'عروة', 'عائشة']"
صحيح البخاري,4168,"  ,  : دخل ه الأشعث وهو يطعم , ف : اليوم عاشوراء , ف :  كان يصام قبل أن ينزل رمضان  فلما نزل رمضان ترك فادن فكل   .","['محمود', 'عبيد ه', 'إسرائيل', 'منصور', 'إبراهيم', 'علقمة', 'عبد ه']"
صحيح البخاري,4169,  رضي ه ا  ت :  كان يوم عاشوراء تصومه قريش في الجاهلية  وكان النبي  يصومه  فلما قدم المدينة صامه وأمر بصيامه  فلما نزل رمضان كان رمضان الفريضة وترك عاشوراء  فكان من شاء صامه ومن شاء لم يصمه   .,"['محمد بن المثنى', 'يحيى', 'هشام', 'أبي', 'عائشة']"
صحيح البخاري,4170,"  يقرأ : وعلى الذين يطيقونه فدية طعام مسكين  184 ,  ابن عباس : ليست بمنسوخة هو الشيخ الكبير والمرأة الكبيرة لا يستطيعان أن يصوما  فليطعمان مكان كل يوم مسكينا  .","['إسحاق', 'روح', 'زكرياء بن إسحاق', 'عمرو بن دينار', 'عطاء', 'ابن عباس']"
صحيح البخاري,4171,"   :  أنه قرأ : 0 فدية طعام مساكين 0 ,  : هي منسوخة   .","['عياش بن الوليد', 'عبد الأعلى', 'عبيد ه', 'نافع', 'ابن عمر']"
صحيح البخاري,4172,"  ,  : لما نزلت وعلى الذين يطيقونه فدية طعام مسكين  184 كان من أراد أن يفطر ويفتدي حتى نزلت الآية التي بعدها فنسختها  ,  أبو عبد ه : مات بكير , قبل يزيد .","['قتيبة', 'بكر بن مضر', 'عمرو بن الحارث', 'بكير بن عبد ه', 'يزيد', 'سلمة']"
صحيح البخاري,4173,  رضي ه  :  لما نزل صوم رمضان كانوا لا يقربون النساء رمضان كله  وكان رجال يخونون أنفسهم  فأنزل ه علم ه أنكم كنتم تختانون أنفسكم فتاب كم وعفا عنكم  187   .,"['عبيد ه', 'إسرائيل', 'أبي إسحاق', 'البراء', 'أحمد بن عثمان', 'شريح بن مسلمة', 'إبراهيم بن يوسف', 'أبيه', 'أبي إسحاق', 'البراء']"
صحيح البخاري,4174,"  ,  : أخذ عدي , عا أبيض وعا أسود حتى كان بعض يل نظر  فلم يستبينا فلما أصبح ,  : يا رسول ه  جعلت تحت وسادي عين ,  :  إن وسادك إذا لعريض أن كان الخيط الأبيض والأسود تحت وسادتك   .","['موسى بن إسماعيل', 'أبو عوانة', 'حصين', 'الشعبي', 'عدي']"
صحيح البخاري,4175,"  رضي ه  ,  : قلت : يا رسول ه , ما الخيط الأبيض من الخيط الأسود أهما الخيطان   :  إنك لعريض القفا إن أبصرت الخيطين  ثم   لا  بل هو سواد يل وبياض النهار   .","['قتيبة بن سعيد', 'جرير', 'مطرف', 'الشعبي', 'عدي بن حاتم']"
صحيح البخاري,4176,"  ,  : وأنزلت وكلوا واشربوا حتى يتبين لكم الخيط الأبيض من الخيط الأسود  187 ولم ينزل من الفجر  وكان رجال إذا أرادوا الصوم ربط أحدهم في رجليه الخيط الأبيض والخيط الأسود ولا يزال يأكل حتى يتبين له رؤيتهما  فأنزل ه بعده من الفجر  187 فعلموا أنما يعني يل من النهار   .","['ابن أبي مريم', 'أبو غسان محمد بن مطرف', 'أبو حازم', 'سهل بن سعد']"
صحيح البخاري,4177,    :  كانوا إذا أحرموا في الجاهلية أتوا البيت من ظهره  فأنزل ه : وليس البر بأن تأتوا البيوت من ظهورها ولكن البر من اتقى وأتوا البيوت من أبوابها  189   .,"['عبيد ه بن موسى', 'إسرائيل', 'أبي إسحاق', 'البراء']"
صحيح البخاري,4178,"   : أتاه رجلان في فتنة ابن الزبير , فا : إن الناس صنعوا وأنت ابن عمر وصاحب النبي  فما يمنعك أن تخرج  ف :  يمنعني أن ه حرم دم أخي  , فا : ألم يقل ه وقاتلوهم حتى لا تكون فتنة  193  ف :  قاتلنا حتى لم تكن فتنة وكان الدين لله  وأنتم تريدون أن تقاتلوا حتى تكون فتنة ويكون الدين لغير ه   وزاد عثمان بن صالح , عن ابن وهب ,  : أخبرني فلان  وحيوة بن شريح , عن بكر بن عمرو المعافري , أن بكير بن عبد ه حدثه  عن نافع , أن رجلا , أتى ابن عمر , ف : يا أبا عبد الرحمن , ما حملك على أن تحج عاما  وتعتمر عاما  وتترك الجهاد في سبيل ه   وقد علمت ما رغب ه فيه   :  يا ابن أخي بني الإسلام على خمس إيمان به ورسوله  والصلاة الخمس  وصيام رمضان  وأداء الزكاة  وحج البيت  ,  : يا أبا عبد الرحمن ألا تسمع ما ذكر ه في كتابه وإن طائفتان من المؤمنين اقتتلوا فأصلحوا بينهما فإن بغت إحداهما على الأخرى فقاتلوا التي تبغي حتى تفيء إلى أمر ه  9 وقاتلوهم حتى لا تكون فتنة  193 ,  :  فعلنا على عهد رسول ه   وكان الإسلام قليلا  فكان الرجل يفتن في دينه إما قتلوه وإما يعذبونه حتى كثر الإسلام  فلم تكن فتنة  ,  : فما قولك في  وعثمان ,  :  أما عثمان , فكأن ه عفا   وأما أنتم فكرهتم أن تعفوا   وأما  , فابن عم رسول ه   وختنه  وأشار بيده  ف :  هذا بيته حيث ترون   .","['محمد بن بشار', 'عبد الوهاب', 'عبيد ه', 'نافع', 'ابن عمر']"
صحيح البخاري,4179,"  , وأنفقوا في سبيل ه ولا تلقوا بأيديكم إلى التهلكة  195 ,  :  نزلت في النفقة   .","['إسحاق', 'النضر', 'شعبة', 'سليمان', 'أبا وائل', 'حذيفة']"
صحيح البخاري,4180,"  في هذا المسجد يعني مسجد الكوفة  فسألته عن فدية من صيام  ف : حملت إلى النبي  والقمل يتناثر على وجهي , ف :  ما كنت أرى أن الجهد قد بلغ بك هذا أما تجد شاة   قلت : لا   :  صم ثلاثة أيام أو أطعم ستة مساكين لكل مسكين نصف صاع من طعام واحلق رأسك    فنزلت في خاصة وهي لكم عامة .","['آدم', 'شعبة', 'عبد الرحمن بن الأصبهاني', 'عبد ه بن معقل', 'كعب بن عجرة']"
صحيح البخاري,4181,"   ,  :  أنزلت آية المتعة في كتاب ه  ففعلناها مع رسول ه  ولم ينزل قرآن يحرمه ولم ينه ا حتى مات     رجل : برأيه ما شاء .","['مسدد', 'يحيى', 'عمران أبي بكر', 'أبو رجاء', 'عمران بن حصين']"
صحيح البخاري,4182,"   ,  :  كانت عكاظ , ومجنة , وذو المجاز أسواقا في الجاهلية  فتأثموا أن يتجروا في المواسم  فنزلت ليس كم جناح أن تبتغوا فضلا من ربكم  198 في مواسم الحج   .","['محمد', 'ابن عيينة', 'عمرو', 'ابن عباس']"
صحيح البخاري,4183,  رضي ه ا : كانت قريش ومن دان دينها يقفون بالمزدلفة  وكانوا يسمون الحمس وكان سائر العرب يقفون بعرفات  فلما جاء الإسلام أمر ه نبيه  أن يأتي عرفات  ثم يقف بها  ثم يفيض منها  فذلك قوله تعالى ثم أفيضوا من حيث أفاض الناس  199   .,"[' بن عبد ه', 'محمد بن خازم', 'هشام', 'أبيه', 'عائشة']"
صحيح البخاري,4184,"  ,  :  يطوف الرجل بالبيت ما كان حلالا حتى يهل بالحج  فإذا ركب إلى عرفة , فمن تيسر له هدية من الإبل أو البقر أو الغنم ما تيسر له من ذلك , أي ذلك شاء غير أنه إن لم يتيسر له فه ثلاثة أيام في الحج , وذلك قبل يوم عرفة , فإن كان آخر يوم من الأيام الثلاثة يوم عرفة فلا جناح ه , ثم لينطلق حتى يقف بعرفات من صلاة العصر إلى أن يكون الظلام  ثم ليدفعوا من عرفات إذا أفاضوا منها حتى يبلغوا جمعا الذي يبيتون به , ثم ليذكروا ه كثيرا وأكثروا التكبير والتهليل قبل أن تصبحوا , ثم أفيضوا , فإن الناس كانوا يفيضون , و ه تعالى : ثم أفيضوا من حيث أفاض الناس واستغفروا ه إن ه غفور رحيم  199 حتى ترموا الجمرة   .","['محمد بن أبي بكر', 'فضيل بن سليمان', 'موسى بن عقبة', 'كريب', 'ابن عباس']"
صحيح البخاري,4185,"  ,  : كان النبي  يقول :  هم ربنا آتنا في الدنيا حسنة وفي الآخرة حسنة وقنا عذاب النار   .","['أبو معمر', 'عبد الوارث', 'عبد العزيز', 'أنس']"
صحيح البخاري,4186,"  رضي ه ا , عن النبي  .","['قبيصة', 'عائشة', 'سفيان', 'ابن جريج', 'ابن أبي مليكة', 'عائشة']"
صحيح البخاري,4187,"  : معاذ ه , وه ما وعد ه رسوله من شيء قط  إلا علم أنه كائن قبل أن يموت  ولكن لم يزل البلاء بالرسل حتى خافوا أن يكون من معهم يكذبونهم  فكانت تقرؤها وظنوا أنهم قد كذبوا  110 مثقلة   .","['إبراهيم بن موسى', 'هشام', 'ابن جريج', 'ابن أبي مليكة', 'ابن عباس', 'عروة بن الزبير', 'عائشة']"
صحيح البخاري,4189,"  رضي ه  ,  :  كانت اليهود  تقول : إذا جامعها من ورائها جاء الولد أحول  فنزلت نساؤكم حرث لكم فأتوا حرثكم أنى شئتم  223   .","['أبو نعيم', 'سفيان', 'ابن المنكدر', 'جابرا']"
صحيح البخاري,4190,"  : أن أخت معقل بن يسار , طلقها زوجها  فتركها حتى انقضت عدتها  فخطبها فأبى معقل , فنزلت فلا تعضلوهن أن ينكحن أزواجهن  232   .","['عبيد ه بن سعيد', 'أبو عامر العقدي', 'عباد بن راشد', 'الحسن', 'معقل بن يسار', 'إبراهيم', 'يونس', 'الحسن', 'معقل بن يسار', 'أبو معمر', 'عبد الوارث', 'يونس', 'الحسن']"
صحيح البخاري,4191,"  : والذين يتوفون منكم ويذرون أزواجا  234   :  قد نسختها الآية الأخرى  فلم تكتبها أو تدعها ,  : يا ابن أخي  لا أغير شيئا منه من مكانه   .","['أمية بن بسطام', 'يزيد بن زريع', 'حبيب', 'ابن أبي مليكة', 'ابن الزبير', 'لعثمان بن عفان']"
صحيح البخاري,4192,"  ,  :  نسخت هذه الآية عدتها في أهلها  فتعتد حيث شاءت لقول ه : غير إخراج  240 نحوه  .","['عطاء', 'إسحاق', 'ابن عباس', 'روح', 'محمد بن يوسف', 'شبل', 'ورقاء', 'ابن أبي نجيح', 'مجاهد', 'ابن أبي نجيح', 'مجاهد', 'ابن أبي نجيح', 'عطاء', 'ابن عباس']"
صحيح البخاري,4193,"  ,  : جلست إلى مجلس فيه عظم من الأنصار , وفيهم عبد الرحمن بن أبي ليلى , فذكرت حديث عبد ه بن عتبة , في شأن سبيعة بنت الحارث , ف عبد الرحمن : ولكن عمه كان لا يقول ذلك  فقلت :  إني لجريء إن كذبت على رجل في جانب الكوفة ورفع صوته   : ثم خرجت  فلقيت مالك بن عامر أو مالك بن عوف , قلت : كيف كان قول ابن مسعود , في المتوفى ا زوجها وهي حامل   ف :  ابن مسعود :  أتجعلون ها التغليظ ولا تجعلون لها الرخصة لنزلت سورة النساء القصرى بعد الطولى    و أيوب  : عن محمد  , لقيت أبا عطية مالك بن عامر  .","['حبان', 'أيوب', 'محمد', 'عبد ه', 'أبا عطية مالك بن عامر', 'عبد ه بن عون', 'محمد بن سيرين']"
صحيح البخاري,4194,"  رضي ه  , أن النبي   :  يوم الخندق حبسونا عن صلاة الوسطى حتى غابت الشمس ملأ ه قبورهم وبيوتهم أو أجوافهم شك يحيى نارا   .","['عبد ه بن محمد', 'يزيد', 'هشام', 'محمد', 'عبيدة', '', 'عبد الرحمن', 'يحيى بن سعيد', 'هشام', 'محمد', 'عبيدة', '']"
صحيح البخاري,4195," ,  :  كنا نتكلم في الصلاة يكلم أحدنا أخاه في حاجته حتى نزلت هذه الآية حافظوا على الصلوات والصلاة الوسطى وقوموا لله قانتين  238  فأمرنا بالسكوت   .","['مسدد', 'يحيى', 'إسماعيل بن أبي خالد', 'الحارث بن شبيل', 'أبي عمرو الشيباني', 'زيد بن أرقم']"
صحيح البخاري,4196," ذكر ذلك إلا , عن رسول ه  .","['عبد ه بن يوسف', 'مالك', 'نافع', 'عبد ه بن عمر']"
صحيح البخاري,4197,"  , قلت : لعثمان هذه الآية التي في البقرة والذين يتوفون منكم ويذرون أزواجا إلى قوله غير إخراج  234 - 240 قد نسختها الأخرى فلم تكتبها   :  تدعها يا ابن أخي لا أغير شيئا منه من مكانه   ,  حميد : أو نحو هذا .","['عبد ه بن أبي الأسود', 'حميد بن الأسود', 'ويزيد بن زريع', 'حبيب بن الشهيد', 'ابن أبي مليكة', 'ابن الزبير']"
صحيح البخاري,4198,"  رضي ه  ,  :  رسول ه  :  نحن أحق بالشك من إبراهيم إذ  : رب أرني كيف تحيي الموتى  أولم تؤمن  بلى ولكن ليطمئن قلبي  260 قوله : أيود أحدكم أن تكون له جنة من نخيل وأعناب إلى قوله : لعلكم تتفكرون  266   .","['أحمد بن صالح', 'ابن وهب', 'يونس', 'ابن شهاب', 'أبي سلمة', 'وسعيد', 'أبي هريرة']"
